NAME                                                                              USED  AVAIL  REFER  MOUNTPOINT
StoragePool/MonitorScripts@autosnap_2017-07-24_15:05:02_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-24_15:06:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-24_15:12:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-24_20:00:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-24_20:01:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-24_20:02:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-24_20:09:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-24_20:10:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-24_20:12:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-24_20:13:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-24_20:14:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-25_00:03:01_daily                       8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-25_00:03:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-25_00:04:01_daily                       8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-25_00:04:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-25_00:05:01_daily                       8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-25_00:05:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-25_00:08:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-25_00:08:01_daily                       8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-25_00:14:02_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-25_00:14:02_daily                       8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-25_05:02:02_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-25_05:05:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-25_05:07:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-25_10:02:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-25_10:07:02_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-25_10:09:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-25_10:11:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-25_10:12:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-25_10:13:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-25_15:02:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-25_15:06:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-25_15:10:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-25_20:03:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-25_20:04:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-25_20:08:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-25_20:14:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-25_20:15:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-26_00:01:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-26_00:01:01_daily                       8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-26_00:03:01_daily                      64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-26_00:03:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-26_00:07:01_daily                       8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-26_00:07:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-26_00:12:01_daily                       8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-26_00:12:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-26_00:15:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-26_00:15:01_daily                      64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-26_05:01:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-26_05:03:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-26_05:11:02_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-26_10:01:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-26_10:07:01_hourly                     64K      -   160K  -
